0,Looks after your farming tools.
1,A strange mole-like being.
2,A very smelly ghost.
3,A very smelly ghost.
4,A very smelly ghost.
5,A very smelly ghost.
6,A very smelly ghost.
7,A very smelly ghost.
8,An evil death demon.
9,Reminds me of playing pooh sticks.
10,An evil death spawn.
11,An evil death demon.
12,It's another jolly tree gnome.
13,"A fan of Niles, Miles and Giles."
14,It's a well dressed tree gnome.
15,He sells weapons.
16,It's another jolly tree gnome.
17,A carpet merchant.
18,A carpet merchant.
19,A man who deals in rugs.
20,A man who deals in rugs.
22,A carpet merchant.
23,Perhaps our oldest relatives?
26,Dead man walking.
27,Dead man walking.
28,Dead man walking.
29,Dead man walking.
30,Dead man walking.
31,Dead man walking.
32,Dead man walking.
33,Dead man walking.
34,Dead man walking.
35,Dead woman walking.
36,Dead woman walking.
37,Dead woman walking.
38,Dead man walking.
39,Dead man walking.
40,Dead woman walking.
41,Dead man walking.
42,Dead woman walking.
43,Dead man walking.
44,Dead man walking.
45,Dead man walking.
46,Dead man walking.
47,Dead woman walking.
48,Dead woman walking.
49,The walking dead.
50,The walking dead.
51,The walking dead.
52,The walking dead.
53,The walking dead.
54,The walking dead.
55,The walking dead.
56,The walking dead.
57,The walking dead.
58,The walking dead.
59,The walking dead.
60,The walking dead.
61,The walking dead.
62,The walking dead.
63,The walking dead.
64,The walking dead.
65,The walking dead.
66,The walking dead.
67,The walking dead.
68,The walking dead.
69,The living dead.
70,Could do with gaining a few pounds.
71,Could do with gaining a few pounds.
72,Could do with gaining a few pounds.
73,Could do with gaining a few pounds.
74,Could do with gaining a few pounds.
75,Could do with gaining a few pounds.
76,Could do with gaining a few pounds.
77,Could do with gaining a few pounds.
78,Could do with gaining a few pounds.
79,Could do with gaining a few pounds.
80,Could do with gaining a few pounds.
81,Could do with gaining a few pounds.
82,Could do with gaining a few pounds.
83,Could do with gaining a few pounds.
84,An undead worker of dark magic.
85,Eeek! A ghost!
86,Eeek! A ghost!
87,Eeek! A ghost!
88,Eeek! A ghost!
89,Eeek! A ghost!
90,Eeek! A ghost!
91,Eeek! A ghost!
92,Eeek! A ghost!
93,Eeek! A ghost!
94,Eeek! A ghost!
95,Eeek! A ghost!
96,Eeek! A ghost!
97,Eeek! A ghost!
98,Eeek! A ghost!
99,Eeek! A ghost!
100,No one likes crabs...
101,A rocky outcrop.
102,No one likes crabs...
103,A rocky outcrop.
104,"Hello, nice doggy..."
105,"Hello, nice doggy..."
106,Not man's best friend.
107,A vicious mountain wolf.
108,A vicious mountain wolf.
109,Must be the pack leader.
110,A social killer.
111,Bow wow.
112,Looks like it's got Rabies!
113,An unsuitable pet.
114,He doesn't seem pleased to see me.
115,Must be the pack leader.
116,A social killer.
117,A social killer.
118,The Master of Fire!
120,And with its head he came galumphing back.
121,And with its head he came galumphing back.
122,And with its head he came galumphing back.
123,And with its head he came galumphing back.
124,And with its head he came galumphing back.
125,And with its head he came galumphing back.
126,And with its head he came galumphing back.
127,And with its head he came galumphing back.
128,And with its head he came galumphing back.
129,I'm glad I can't see the rest of it!
130,He guards the dungeon with the faithfulness of the undead.
131,Beware of the dog!
132,He doesn't look very welcoming.
133,A pet Troll.
134,No spider could grow that big! It's unrealistic!
135,Good doggy...
136,He's full of pent-up aggression.
137,"Young, but still dangerous."
138,I don't think insect repellent will work...
139,Its scales seem to be made of steel.
140,A darkened horror from the ocean depths.
141,I don't like the look of those spines...
142,Arrgh! Look at its pointy teeth!
143,It's full of pent-up aggression.
144,Guess right or the mannequin gets it!
145,Guess right or the mannequin gets it!
146,Guess right or the mannequin gets it!
147,Guess right or the mannequin gets it!
